學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定
115,國立臺灣師範大學,00208,教育學院學士班,False,7,7.0,7.0,15.0,,,均標,前標,均標,均標,均標,,
115,國立臺灣師範大學,00208,教育學院學士班【外加】,True,1,0.0,,,,,均標,前標,均標,均標,均標,,
115,國立臺灣師範大學,00209,國文學系,False,25,25.0,8.0,13.0,17.0,13.0,前標,前標,,,前標,,
115,國立臺灣師範大學,00209,國文學系【外加】,True,1,0.0,,,,,前標,前標,,,前標,,
115,國立臺灣師範大學,00210,英語學系,False,9,9.0,9.0,4.0,,,前標,頂標,,,,,
115,國立臺灣師範大學,00211,歷史學系,False,7,7.0,3.0,11.0,4.0,12.0,前標,前標,,均標,前標,,
115,國立臺灣師範大學,00212,地理學系,False,10,10.0,7.0,20.0,3.0,7.0,前標,前標,,均標,前標,,
115,國立臺灣師範大學,00212,地理學系【外加】,True,1,0.0,,,,,前標,前標,,均標,前標,,
115,國立臺灣師範大學,00213,臺灣語文學系,False,3,3.0,1.0,18.0,2.0,16.0,前標,前標,,,前標,,
115,國立臺灣師範大學,00214,華語文教學系應用華語文學組,False,8,8.0,8.0,3.0,,,均標,均標,,,,,
115,國立臺灣師範大學,00214,華語文教學系應用華語文學組【外加】,True,1,0.0,,,,,均標,均標,,,,,
115,國立臺灣師範大學,00215,東亞學系,False,10,10.0,10.0,11.0,,,均標,前標,,均標,均標,,
115,國立臺灣師範大學,00215,東亞學系【外加】,True,1,0.0,,,,,均標,前標,,均標,均標,,
115,國立臺灣師範大學,00216,企業管理學系,False,8,8.0,8.0,3.0,,,均標,均標,均標,前標,,,
115,國立臺灣師範大學,00217,學習科學學士學位學程,False,4,4.0,4.0,3.0,,,均標,均標,均標,,,,
115,國立臺灣師範大學,00218,數學系,False,14,14.0,12.0,13.0,2.0,6.0,,均標,前標,,,均標,
115,國立臺灣師範大學,00219,物理學系,False,6,6.0,6.0,5.0,,,,均標,前標,,,均標,
115,國立臺灣師範大學,00220,物理學系國際組,False,6,6.0,6.0,2.0,,,,均標,均標,,,均標,
115,國立臺灣師範大學,00221,化學系,False,12,12.0,8.0,16.0,4.0,7.0,均標,均標,前標,,,頂標,
115,國立臺灣師範大學,00222,地球科學系,False,16,16.0,16.0,8.0,,,,均標,均標,,,均標,
115,國立臺灣師範大學,00222,地球科學系【外加】,True,2,1.0,1.0,17.0,,,,均標,均標,,,均標,
115,國立臺灣師範大學,00223,資訊工程學系,False,7,7.0,5.0,6.0,2.0,11.0,均標,前標,前標,,,前標,
115,國立臺灣師範大學,00224,科技應用與人力資源發展學系,False,11,11.0,5.0,12.0,6.0,9.0,,均標,前標,,,均標,
115,國立臺灣師範大學,00224,科技應用與人力資源發展學系【外加】,True,1,0.0,,,,,,均標,前標,,,均標,
115,國立臺灣師範大學,00225,圖文傳播學系,False,5,5.0,5.0,11.0,,,均標,均標,均標,,,,
115,國立臺灣師範大學,00226,機電工程學系,False,6,6.0,6.0,4.0,,,均標,均標,前標,,,均標,
115,國立臺灣師範大學,00226,機電工程學系【外加】,True,2,0.0,,,,,均標,均標,前標,,,均標,
115,國立臺灣師範大學,00227,電機工程學系,False,6,6.0,6.0,3.0,,,,均標,前標,,,前標,
115,國立臺灣師範大學,00228,車輛與能源工程學士學位學程,False,1,1.0,1.0,10.0,,,均標,均標,均標,,,前標,
115,國立臺灣師範大學,00229,光電工程學士學位學程,False,3,3.0,2.0,5.0,1.0,10.0,均標,前標,前標,,,前標,
115,國立臺灣師範大學,00229,光電工程學士學位學程【外加】,True,2,0.0,,,,,均標,前標,前標,,,前標,
115,國立臺灣師範大學,00230,設計學系產品設計組,False,3,3.0,3.0,1.0,,,均標,均標,,均標,,,
115,國立臺灣師範大學,00231,健康促進與衛生教育學系,False,12,12.0,7.0,17.0,5.0,7.0,均標,均標,均標,,,均標,
