學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立臺灣大學,00130,土木工程學系,False,10,10.0,1.0,3.0,9.0,10.0,前標,前標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '3%', 'r2': '10%'}, {'name': '在校學業', 'r1': '3%', 'r2': None}]"
113,國立臺灣大學,00131,機械工程學系,False,16,16.0,16.0,3.0,,,,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '3%', 'r2': None}, {'name': '學測數A', 'r1': '13', 'r2': None}, {'name': '在校學業', 'r1': '1%', 'r2': None}]"
113,國立臺灣大學,00132,化學工程學系,False,10,10.0,10.0,1.0,,,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測數A', 'r1': '11', 'r2': None}, {'name': '學測自然', 'r1': '13', 'r2': None}, {'name': '在校學業', 'r1': None, 'r2': '3%'}]"
113,國立臺灣大學,00133,工程科學及海洋工程學系,False,5,5.0,,,5.0,3.0,前標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': None, 'r2': '3%'}]"
113,國立臺灣大學,00134,材料科學與工程學系,False,4,4.0,4.0,1.0,,,,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測數A', 'r1': '14', 'r2': None}, {'name': '學測自然', 'r1': '14', 'r2': None}, {'name': '學測英文', 'r1': '15', 'r2': None}]"
113,國立臺灣大學,00135,醫學工程學系,False,4,4.0,4.0,1.0,,,前標,前標,前標,,,前標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測數A', 'r1': '11', 'r2': None}, {'name': '學測自然', 'r1': '14', 'r2': None}, {'name': '在校學業', 'r1': None, 'r2': '13%'}]"
113,國立臺灣大學,00136,生物環境系統工程學系,False,4,4.0,,,4.0,13.0,前標,前標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': None, 'r2': '13%'}, {'name': '在校學業', 'r1': '4%', 'r2': None}]"
113,國立臺灣大學,00137,生物機電工程學系,False,4,4.0,4.0,4.0,,,頂標,前標,前標,,,頂標,,"[{'name': '在校學業', 'r1': '4%', 'r2': None}, {'name': '學測國英數A自', 'r1': '53', 'r2': None}, {'name': '在校學業', 'r1': None, 'r2': '8%'}]"
113,國立臺灣大學,00138,工商管理學系科技管理組,False,5,3.0,,,3.0,8.0,頂標,頂標,頂標,,,前標,,"[{'name': '在校學業', 'r1': None, 'r2': '8%'}]"
113,國立臺灣大學,00139,資訊管理學系,False,3,3.0,3.0,2.0,,,頂標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '2%', 'r2': None}, {'name': '學測國英數A自', 'r1': '56', 'r2': None}]"
113,國立臺灣大學,00140,電機工程學系,False,18,18.0,18.0,1.0,,,頂標,頂標,頂標,,,頂標,,"[{'name': '在校學業', 'r1': '1%', 'r2': None}, {'name': '學測國英數A自', 'r1': '59', 'r2': None}, {'name': '學測數A', 'r1': '15', 'r2': None}, {'name': '在校學業', 'r1': '1%', 'r2': None}]"
